Final Position,Report Position,Team,IMAGE,Color,Fuse Material,Wing Material,Wing Configuration,Winglets?,Tail Configuration,Landing Gear Configuration,"Landing Gear
Material",Motor Configuration,Motor,Propeller(s) Blades,Deployment Type,Boom Number,Radio Protocol,Weight (lb),Mission 1 Pass/Fail,Mission 1 Times,Mission 2 Times,Mission 3 Lap Count,Mission 3 Fastest Lap Time,Wingspan (ft),Syringes,Max Packages,NOTES
3,1,FH Johanneum,,Carbon Fiber/ Yellow,Carbon Fiber Composite,Carbon Fiber Composite,Conventional High Wing,Yes,Conventional,Tricycle,"Front: metal, back: composite ",Single,,2,,N/A,,10.2,Pass,,"29.41, 26.21, 27.39, 1.23",,,6.54,,,
,2,Massachusetts Institute of Technology,,"Black/Red/
White",Carbon Fiber Composite,Wood,Conventional High Wing,No,Conventional,,Carbon Fiber Composite,Twin,,2,,,,,Fail,,,,,,,,
,3,Washington University in St. Louis,,Yellow/Blue/Pink,Wood,Wood,Conventional High Wing,Yes,Conventional,Tricycle,Carbon Fiber Composite,Single,,2,Double Plate,,,,Pass,,,,,,60,,
,4,California Polytechnicic State University,,,,,,,,,,,,,,,,,,,,,,,,,
,5,Virginia Tech,,Black/Orange,Carbon Fiber Composite,Wood,Conventional High Wing,Yes,H Tail,Tricycle,Carbon Fiber Composite,Twin,Scorpion,2,Bottom Drop,1,,,Pass,,"49, 42,45, 2.16",,,,50,,
,6,"University of California, Los Angeles",,Black/White,Carbon Fiber Composite,Wood,Conventional High Wing,No,Conventional,Tricycle,Aluminum,,,,,,,~>10,"Pass
",,Fail,,,,,6,
,7,Arizona State University,,Red/White/Yellow,,Wood,"Conventional, Thick",No,Conventional,Tricycle,,,,,,,,,Pass,,"40.04, 46.23, 51.47, 2.22",,,,,,
,8,The Ohio State University,,Black/Red,Carbon Fiber Composite,Composite,Tandem,Yes,Tandem,Tail Dragger,Carbon Fiber Composite,8 Motors,,2,Sequential Rear,N/A,,"42, 54",,,,,,,,24,
1,9,Georgia Institute of Technology,,,,,,,,,,,,,,,,,Pass,,,,,,,,
,10,University of Petroleum and Energy Studies,,,,,,,,,,,,,,,,,,,,,,,,,
,11,University of Notre Dame,,Blue/Gold,Wood,Wood,Conventional High Wing,Yes,Conventional,Tricycle Front Bogey,Carbon Fiber Strut,Twin Ducted Fan,,2,,,,,Fail ,,,,,,,,
,12,Rensselaer Polytechnicl Institute,,Clear ,Wood,Wood,Conventional Middle Wing,No,Conventional,Tricycle,Aluminum,Single,,2,,1,,,,,,,,,,,
,13,North Carolina State University,,,,,,,,,,,,,,,,,,,,,,,,,
,14,National University of Singapore,,White/Yellow,Foam Board,Foam,Conventional High Wing,No,Conventional,Tricycle,Aluminum,Single,,2,,,,,Fail,,,,,,,,Dihedral
,15,Veermata Jijabai Technological Institute,,White/Blue,Wood,Wood,"Conventional
High Wing",No,Conventional,"Tricycle
Front Bogey",Thick Steel/Aluminum,Single,,,Sequential Rear,N/A,,9.125,Pass,,,,,,,,
,16,Embry-Riddle Aeronautical University: Prescott Campus,,Blue/White,Wood,Wood,Conventional High Wing,No ,Conventional,Tricycle,Carbon Fiber Composite,Twin,,,,N/A,,,Pass ,,,,,,,,
2,17,Embry-Riddle Aeronautical University: Daytona Beach,,Yellow,Wood,Wood,Conventional Low Wing,No,Conventional,Tricycle,Aluminum,Single,,2,Sequential Rear,N/A,,,Pass,,"37.14, 34.66, 36.08, 1.47",,,,110,,
,18,West Virginia University,,,,,,,,,,,,,,,,,,,,,,,,,
,19,Dayanda Sagar College of Engineering,,,,,,,,,,,,,,,,,,,,,,,,,
